pending_id,setup_id,created_ts_ms,signal_open_time,symbol,side,score,confidence,reason,breakout_level,signal_price,signal_high,signal_low,oi_jump_pct,funding_pct,vol_ratio,strategy,market_regime,btc_price,btc_24h_change_pct,btc_4h_change_pct,btc_1h_change_pct,btc_24h_range_pct,btc_4h_range_pct,alt_market_breadth_pct,btc_regime,score_oi,score_exhaustion,score_breakout,score_retest,reason_tags,status,close_reason,bars_waited,closed_ts_ms,send_decision,skip_reason,is_confirmed,confirmed_ts_ms,is_sent_signal,sent_ts_ms,review_eligible,review_exclusion_reason,semantic_consistency,semantic_issue,close_anchor_time_ms,close_capture_basis,future_1h_max_favor_pct,future_1h_max_adverse_pct,future_2h_max_favor_pct,future_2h_max_adverse_pct,future_4h_max_favor_pct,future_4h_max_adverse_pct,reclaim_breakout_2h_YN,reclaim_breakout_4h_YN,outcome_1h_available,outcome_2h_available,outcome_1h_summary,outcome_2h_summary,post_close_outcome_notes,outcome_conclusion_code,entry_feasible_YN,entry_feasible_window_minutes,entry_slippage_pct,entry_execution_note,time_to_max_favor_minutes,time_to_max_adverse_minutes,close_trigger_detail,confirm_fail_detail,invalidation_detail,regret_valid_YN,regret_filter_reason,regime_label,regime_fit_for_strategy,setup_quality_band,delivery_band,veto_reason_code,dispatch_action,dispatch_confidence_band,dispatch_reason
BEATUSDT-SHORT-EXH-1773911700000,BEATUSDT-SHORT-EXH-1773911700000,1773912977716,1773911700000,BEATUSDT,SHORT,50.58623465081104,0.5058623465081105,1h exhaustion 25/35 + 15m breakdown 26/30 -> retest fail pending,0.5762,0.5751,0.584,0.5702,-1.8878475872158427,0.005,2.3868149455016234,short_exhaustion_retest,BEARISH,70213.3,-5.264,0.1337228117145579,0.4023877388239129,6.872059851908387,0.8162143769335838,0.0,bearish,0.0,25.0,25.586234650811043,0.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.19%,INVALIDATED,retest invalidated,1,1773913582022,,,,,,,Y,,Y,,1773913582022,true_close,0.0000,3.4537,0.0000,6.1958,0.0000,6.1958,Y,Y,Y,Y,favor=0.00% adverse=3.45%,favor=0.00% adverse=6.20%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,4,79,,,,N,adverse_too_large,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
PIPPINUSDT-LONG-1773914400000,PIPPINUSDT-LONG-1773914400000,1773914844004,1773914400000,PIPPINUSDT,LONG,100.0,0.99,OI jump 3.36% + breakout pending + 15m up + 1h flat,0.11465,0.11743,0.1194,0.11339,3.357899651123055,0.00125,5.204805009923698,legacy_5m_retest,BEARISH,70454.1,-4.861,0.4405154458401228,-0.012630742375422816,6.811385001014836,0.9576447644636679,0.0,bearish,26.14739790673833,0.0,40.0,0.0,oi_jump;5m_breakout;15m_up;1h_flat,EXPIRED_WAIT,retest wait expired,8,1773917190068,,,,,,,Y,,Y,,1773917190068,true_close,3.0179,0.8984,3.0179,4.7449,3.0179,9.6642,Y,Y,Y,Y,favor=3.02% adverse=0.90%,favor=3.02% adverse=4.74%,entry_ref_from_breakout_level,NO_MEANINGFUL_MOVE,Y,10,0.0000,entry still reachable within 10m,3,118,,,,N,adverse_too_large,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
CFGUSDT-LONG-1773914700000,CFGUSDT-LONG-1773914700000,1773915180026,1773914700000,CFGUSDT,LONG,76.17395987667445,0.7617395987667445,OI jump 2.06% + breakout pending + 15m flat + 1h flat,0.1507,0.1509,0.151,0.1472,2.062221717024726,-0.093521,1.2873998997789369,legacy_5m_retest,BEARISH,70389.6,-5.122,0.34870575421517863,-0.10402622653023987,6.817626467546334,0.9585209199641385,0.0,bearish,18.373330302148354,0.0,27.597461948878,0.0,oi_jump;5m_breakout;15m_flat;1h_flat,INVALIDATED,retest invalidated,1,1773915311772,,,,,,,Y,,Y,,1773915311772,true_close,2.7870,5.1095,2.7870,5.9058,2.7870,5.9058,Y,Y,Y,Y,favor=2.79% adverse=5.11%,favor=2.79% adverse=5.91%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,20,105,,,,N,adverse_too_large,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
BANUSDT-LONG-1773916500000,BANUSDT-LONG-1773916500000,1773916889321,1773916500000,BANUSDT,LONG,97.00402138286555,0.9700402138286555,OI jump 3.36% + breakout pending + 15m up + 1h flat,0.05348,0.05471,0.05533,0.05296,3.3559040403058944,0.005,2.2941049625367396,legacy_5m_retest,BEARISH,70173.1,-5.107,0.03834907926568524,-0.41142159715026916,6.5747416032639245,0.9614946132360445,0.0,bearish,26.135424241835366,0.0,40.0,0.0,oi_jump;5m_breakout;15m_up;1h_flat,INVALIDATED,retest invalidated,2,1773917504102,,,,,,,Y,,Y,,1773917504102,true_close,0.0000,11.7427,0.0000,11.7427,0.0000,11.7427,Y,Y,Y,Y,favor=0.00% adverse=11.74%,favor=0.00% adverse=11.74%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,3,48,,,,N,adverse_too_large,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
ENAUSDT-SHORT-EXH-1773916200000,ENAUSDT-SHORT-EXH-1773916200000,1773917205116,1773916200000,ENAUSDT,SHORT,61.50703038046389,0.6150703038046389,1h exhaustion 35/35 + 15m breakdown 27/30 -> retest fail pending,0.1037,0.1032,0.1038,0.103,-0.5180147017947582,-0.00704,1.285911139503436,short_exhaustion_retest,BEARISH,70200.0,-4.861,0.07826633649391644,-0.3732455331166712,6.572222222222218,0.961111111111107,0.0,bearish,0.0,35.0,26.50703038046389,0.0,1h_top_tests=4;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.48%,CONFIRMED,signal confirmed,1,1773918133801,SENT,,,,,,N,confirmed_without_confirmed_ts,N,confirmed_without_confirmed_ts,,not_due_yet,0.6750,0.0000,1.3500,0.0000,2.7001,0.0000,N,N,N,N,favor=0.68% adverse=0.00%,favor=1.35% adverse=0.00%,case_not_closed_yet,NO_MEANINGFUL_MOVE,Y,10,0.0000,entry still reachable within 10m,108,68,,,,N,no_meaningful_fast_move,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
LYNUSDT-LONG-1773919200000,LYNUSDT-LONG-1773919200000,1773919706510,1773919200000,LYNUSDT,LONG,96.86920250560041,0.9686920250560042,OI jump 4.48% + breakout pending + 15m up + 1h flat,0.08784,0.08819,0.0893,0.08506,4.48024606005461,0.019734,2.090903514810807,legacy_5m_retest,BEARISH,70169.8,-4.83,0.025375970666501806,0.08687341302672416,6.200245689741166,0.9616193173315201,0.0,bearish,32.88147636032766,0.0,32.19679751942476,0.0,oi_jump;5m_breakout;15m_up;1h_flat,INVALIDATED,retest invalidated,1,1773919859286,,,,,,,Y,,Y,,1773919859286,true_close,3.5405,3.7454,6.7168,3.7454,11.8169,3.7454,Y,Y,Y,Y,favor=3.54% adverse=3.75%,favor=6.72% adverse=3.75%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,74,29,,,,N,no_meaningful_fast_move,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
PAXGUSDT-SHORT-EXH-1773921600000,PAXGUSDT-SHORT-EXH-1773921600000,1773922531778,1773921600000,PAXGUSDT,SHORT,64.07513330101789,0.6407513330101788,1h exhaustion 35/35 + 15m breakdown 29/30 -> retest fail pending,4645.01,4615.3,4648.37,4607.11,-0.37849456443931345,0.0032539999999999995,2.807240641835865,short_exhaustion_retest,BEARISH,69775.3,-4.047,-0.21679813748091692,-0.22409147851753128,4.916066287067196,0.5140795010261484,0.0,bearish,0.0,35.0,29.075133301017885,0.0,1h_top_tests=6;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.64%,EXPIRED_WAIT,retest wait expired,3,1773925237495,,,,,,,Y,,Y,,1773925237495,true_close,2.5119,0.0000,2.5119,0.0319,2.5119,0.0319,Y,Y,Y,Y,favor=2.51% adverse=0.00%,favor=2.51% adverse=0.03%,entry_ref_from_breakout_level,WAIT_TOO_SHORT_CANDIDATE,Y,10,0.0000,entry still reachable within 10m,14,69,,,,Y,valid_missed_continuation,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
AXSUSDT-SHORT-EXH-1773921600000,AXSUSDT-SHORT-EXH-1773921600000,1773922561212,1773921600000,AXSUSDT,SHORT,52.80952380952381,0.5280952380952381,1h exhaustion 25/35 + 15m breakdown 28/30 -> retest fail pending,1.185,1.18,1.188,1.174,-0.11805589382361821,-0.09293,4.401199107696792,short_exhaustion_retest,BEARISH,69708.5,-4.139,-0.24797359524532614,-0.281723173375587,4.920777236635413,0.5142401660707537,0.0,bearish,0.0,25.0,27.80952380952381,0.0,1h_top_tests=3;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.42%,EXPIRED_WAIT,retest wait expired,3,1773925237573,,,,,,,Y,,Y,,1773925237573,true_close,2.2785,0.0000,2.2785,0.0000,2.2785,0.0000,N,N,Y,Y,favor=2.28% adverse=0.00%,favor=2.28% adverse=0.00%,entry_ref_from_breakout_level,WAIT_TOO_SHORT_CANDIDATE,Y,10,0.0000,entry still reachable within 10m,14,39,,,,Y,valid_missed_continuation,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
XRPUSDT-SHORT-EXH-1773922500000,XRPUSDT-SHORT-EXH-1773922500000,1773923480390,1773922500000,XRPUSDT,SHORT,52.079365079365076,0.5207936507936508,1h exhaustion 23/35 + 15m breakdown 29/30 -> retest fail pending,1.4546,1.4488,1.4555,1.4471,-0.7949151891266844,0.01,2.325037242512899,short_exhaustion_retest,BEARISH,69523.0,-4.106,-0.563446346751174,-0.5718837412837549,4.496929073831673,0.5962653596576089,0.0,bearish,0.0,23.0,29.079365079365072,0.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.40%,EXPIRED_WAIT,retest wait expired,3,1773926194353,,,,,,,Y,,Y,,1773926194353,true_close,1.3749,0.1306,1.3749,0.1306,2.2893,0.1306,Y,Y,Y,Y,favor=1.37% adverse=0.13%,favor=1.37% adverse=0.13%,entry_ref_from_breakout_level,WAIT_TOO_SHORT_CANDIDATE,Y,10,0.0000,entry still reachable within 10m,18,43,,,,Y,valid_missed_continuation,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
ASTERUSDT-SHORT-EXH-1773922500000,ASTERUSDT-SHORT-EXH-1773922500000,1773923489443,1773922500000,ASTERUSDT,SHORT,52.809523809523846,0.5280952380952385,1h exhaustion 25/35 + 15m breakdown 28/30 -> retest fail pending,0.6822,0.6755,0.6857,0.6689,-0.1624389038969335,-0.017543,16.48894028078337,short_exhaustion_retest,BEARISH,69543.7,-4.077,-0.5718837412837549,-0.55829810601945,4.495590542349622,0.5963159582837806,0.0,bearish,0.0,25.0,27.809523809523846,0.0,1h_top_tests=3;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.98%,EXPIRED_WAIT,retest wait expired,3,1773926194440,,,,,,,Y,,Y,,1773926194440,true_close,0.9968,0.3518,0.9968,0.4837,0.9968,0.5717,Y,Y,Y,Y,favor=1.00% adverse=0.35%,favor=1.00% adverse=0.48%,entry_ref_from_breakout_level,NO_MEANINGFUL_MOVE,Y,10,0.0000,entry still reachable within 10m,53,108,,,,N,no_meaningful_fast_move,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
