symbol,mc_unknown,t_high,t_bottom,drop_pct,t_sig,reason_no_signal,pos_at_sig,acct_at_sig,gap_at_sig,retail_at_sig,oi_at_sig,oi_vs_bottom_pct,oi_vs_prepump_pct,prepump_note,funding_at_sig,taker_at_sig,btc_regime_proxy,first_cross,hours_to_cross,fwd_ret_3d,fwd_ret_7d,wick_touched_up,wick_touched_down
VICUSDT,False,2026-06-01 12:00,2026-06-10 21:00,-55.109,2026-06-12 21:00,no_rise_satisfied,0.6679,0.4649,0.203,0.3854,1596724.2636,14.3619,11.3214,,-0.0005,0.8932,unknown,GREY,,-2.2332,9.7738,True,False
FHEUSDT,False,2026-06-01 04:00,2026-06-06 04:00,-48.652,2026-06-08 04:00,no_rise_satisfied,0.5999,0.7394,-0.1395,0.7421,2771622.8671,24.3406,-10.7056,,,1.0081,unknown,UP,76.0,11.8562,21.8659,True,False
HEIUSDT,False,2026-05-30 06:00,2026-06-03 15:00,-66.312,2026-06-05 15:00,no_rise_satisfied,0.6495,0.5808,0.0687,0.548,4260872.2232,68.7757,,prepump_window_insufficient,,0.8706,unknown,UP,17.0,4.3555,2.7677,True,False
SAGAUSDT,False,2026-05-27 13:00,2026-06-10 21:00,-41.412,2026-06-12 21:00,no_rise_satisfied,0.7366,0.7039,0.0327,0.6385,2767436.4332,-0.8439,,prepump_window_insufficient,0.0001,0.9022,unknown,GREY,,1.0912,1.325,False,False
MBOXUSDT,False,2026-06-01 04:00,2026-06-10 22:00,-66.644,2026-06-12 22:00,no_rise_satisfied,,,,,,,,,,,unknown,GREY,,0.0,0.0,False,False
4USDT,False,2026-06-09 00:00,2026-06-10 21:00,-38.527,2026-06-12 21:00,no_rise_satisfied,0.6818,0.8193,-0.1375,0.8133,2846281.8238,9.7683,6.7512,,0.0001,0.548,unknown,GREY,,4.6586,-0.8845,False,False
GRIFFAINUSDT,False,2026-05-27 15:00,2026-06-06 04:00,-32.479,2026-06-08 04:00,no_rise_satisfied,0.5561,0.768,-0.2119,0.7996,1432242.0795,0.2485,,prepump_window_insufficient,,1.1592,unknown,GREY,,-0.4684,5.9048,False,False
DYMUSDT,False,2026-05-27 09:00,2026-06-06 04:00,-43.931,2026-06-08 04:00,no_rise_satisfied,0.6089,0.7237,-0.1148,0.7187,1425893.4137,-6.2771,,prepump_window_insufficient,,0.7124,unknown,GREY,,0.5083,10.8005,True,False
MITOUSDT,False,2026-05-27 17:00,2026-06-13 06:00,-52.078,2026-06-15 06:00,no_rise_satisfied,0.654,0.6266,0.0274,0.5552,3061393.5787,39.2404,,prepump_window_insufficient,0.0001,0.7712,unknown,UP,55.0,33.4311,23.5093,True,False
DOLOUSDT,False,2026-05-27 21:00,2026-06-06 04:00,-36.108,2026-06-08 04:00,no_rise_satisfied,0.6974,0.8099,-0.1125,0.7748,1101903.2512,6.0999,,prepump_window_insufficient,,1.0823,unknown,UP,119.0,-0.0885,9.7744,True,False
ONUSDT,False,2026-05-27 17:00,2026-06-09 21:00,-34.223,2026-06-11 21:00,no_rise_satisfied,0.5456,0.7181,-0.1725,0.747,1539031.658,15.2057,,prepump_window_insufficient,0.0001,1.2525,unknown,UP,116.0,6.8241,4.3745,True,False
ENSOUSDT,False,2026-05-27 15:00,2026-06-06 04:00,-31.365,2026-06-08 04:00,no_rise_satisfied,0.6983,0.6776,0.0207,0.652,2815766.8638,-0.1745,,prepump_window_insufficient,,0.643,unknown,UP,92.0,1.6593,11.1739,True,False
WETUSDT,False,2026-05-27 18:00,2026-06-06 04:00,-35.365,2026-06-08 04:00,no_rise_satisfied,0.5509,0.7766,-0.2257,0.8026,1078720.0995,-3.151,,prepump_window_insufficient,,0.6476,unknown,UP,167.0,-0.5918,20.4986,True,False
TAUSDT,False,2026-06-03 12:00,2026-06-10 23:00,-42.107,2026-06-12 23:00,no_rise_satisfied,0.6409,0.6047,0.0362,0.614,14817282.3644,14.9996,81.4366,,0.0002,0.8104,unknown,GREY,,-13.454,-5.7208,False,False
PORTALUSDT,False,2026-06-01 02:00,2026-06-16 04:00,-76.857,2026-06-18 04:00,no_rise_satisfied,0.6273,0.4613,0.166,0.4003,3954832.9402,26.7952,176.6292,,-0.0024,0.888,down,UP,42.0,5.1701,-8.7075,True,False
FIDAUSDT,False,2026-05-27 18:00,2026-06-05 18:00,-46.087,2026-06-07 18:00,no_rise_satisfied,0.6235,0.5561,0.0674,0.5277,6769132.44,199.7311,,prepump_window_insufficient,,1.0458,unknown,DOWN,30.0,-21.8352,-14.8315,False,True
SAPIENUSDT,False,2026-05-29 12:00,2026-06-06 04:00,-36.318,2026-06-08 04:00,no_rise_satisfied,0.5009,0.672,-0.1711,0.667,1520220.1818,4.9845,,prepump_window_insufficient,,1.2735,unknown,GREY,,4.2573,10.82,True,False
ACUUSDT,False,2026-06-01 09:00,2026-06-06 02:00,-34.27,2026-06-08 02:00,no_rise_satisfied,0.4976,0.774,-0.2764,0.7977,940023.8242,15.298,-7.8146,,,0.9468,unknown,GREY,,-0.308,8.195,False,False
EULUSDT,False,2026-06-02 13:00,2026-06-10 21:00,-41.077,2026-06-12 21:00,no_rise_satisfied,0.6191,0.6743,-0.0552,0.591,2231739.501,6.9087,-42.3998,,0.0001,1.4984,unknown,UP,48.0,14.0516,11.2981,True,False
XANUSDT,False,2026-06-03 06:00,2026-06-10 21:00,-39.226,2026-06-12 21:00,no_rise_satisfied,0.5346,0.721,-0.1864,0.7645,1103953.6172,16.7743,-20.5259,,0.0001,1.5862,unknown,UP,66.0,10.1547,4.7221,True,False
ETHWUSDT,False,2026-06-03 19:00,2026-06-06 04:00,-30.339,2026-06-08 04:00,no_rise_satisfied,0.5288,0.7618,-0.233,0.7999,762171.8697,6.1354,-10.0999,,,0.569,unknown,GREY,,0.8893,8.0925,False,False
PHAUSDT,False,2026-05-27 14:00,2026-06-10 21:00,-39.859,2026-06-12 21:00,no_rise_satisfied,0.5721,0.4478,0.1243,0.4098,1623797.2694,-1.6449,,prepump_window_insufficient,-0.0001,0.7757,unknown,UP,132.0,7.8532,13.6446,True,False
ALLOUSDT,False,2026-06-08 11:00,2026-06-15 08:00,-41.889,2026-06-17 08:00,no_rise_satisfied,0.5959,0.402,0.1939,0.4058,20068587.2296,1.9059,52.2412,,0.0,0.8113,down,UP,99.0,5.8978,11.4786,True,False
VELVETUSDT,False,2026-06-12 02:00,2026-06-15 17:00,-83.247,2026-06-17 17:00,no_rise_satisfied,0.5945,0.6738,-0.0793,0.6597,10554292.3944,-7.6128,-23.9621,,0.0001,1.0871,down,UP,19.0,39.4908,33.3239,True,False
MAGMAUSDT,False,2026-06-10 19:00,2026-06-13 01:00,-47.547,2026-06-15 01:00,no_rise_satisfied,0.4961,0.4388,0.0573,0.4202,6350162.4963,-5.2432,-35.4256,,0.0001,0.9445,unknown,UP,8.0,53.4075,56.3107,True,False
IOUSDT,False,2026-05-29 09:00,2026-06-06 04:00,-44.332,2026-06-08 04:00,no_rise_satisfied,0.6018,0.4323,0.1695,0.3797,3351543.1426,7.9242,,prepump_window_insufficient,,0.5792,unknown,UP,26.0,28.1366,39.4952,True,False
APRUSDT,False,2026-06-03 03:00,2026-06-14 01:00,-33.698,2026-06-16 01:00,no_rise_satisfied,0.6865,0.6575,0.029,0.6612,8425224.522,8.0945,-7.3344,,0.0001,0.6495,unknown,GREY,,8.0103,7.0801,False,False
ENJUSDT,False,2026-05-31 18:00,2026-06-10 21:00,-31.73,2026-06-12 21:00,no_rise_satisfied,0.6372,0.631,0.0062,0.5859,4271252.1659,39.9761,-20.1347,,-0.0017,0.968,unknown,UP,130.0,-1.3979,11.6185,True,False
ORCAUSDT,False,2026-05-30 00:00,2026-06-10 21:00,-32.841,2026-06-12 21:00,no_rise_satisfied,0.5775,0.565,0.0125,0.5441,6122216.547,96.2292,,prepump_window_insufficient,-0.0054,0.9594,unknown,GREY,,-9.1053,-4.1172,False,False
ARKMUSDT,False,2026-06-03 15:00,2026-06-06 04:00,-30.977,2026-06-08 04:00,no_rise_satisfied,0.5706,0.5689,0.0017,0.5065,2290979.026,4.3141,-24.9057,,-0.0,0.5986,unknown,UP,166.0,1.1997,16.9666,True,False
MELANIAUSDT,False,2026-06-02 09:00,2026-06-06 04:00,-37.066,2026-06-08 04:00,no_rise_satisfied,0.5107,0.7716,-0.2609,0.7942,1335275.4796,3.5847,-21.7709,,,0.3805,unknown,UP,102.0,7.046,8.5089,True,False
