case_id,symbol,side,strategy,case_day,signal_time_local,created_time_local,confirmed_time_local,sent_time_local,close_time_local,fallback_close_due_time_local,status_final,close_reason,is_confirmed,is_sent_signal,case_close_type,slot_bundle_complete,evidence_ready_for_review,lifecycle_complete,human_review_status,verdict_code,root_cause_code,action_candidate_code,review_notes_short,pre_pending_stage_status,pre_pending_stage_content_type,pre_pending_image_path,pending_open_stage_status,pending_open_stage_content_type,pending_open_image_path,entry_or_confirm_stage_status,entry_or_confirm_stage_content_type,entry_or_confirm_image_path,case_close_stage_status,case_close_stage_content_type,case_close_image_path
STGUSDT-LONG-1774607100000,STGUSDT,LONG,long_breakout_retest,2026-03-27,2026-03-27 17:25:00,2026-03-27 17:33:41,,,,2026-03-27 21:33:41,EXPIRED_WAIT,retest wait expired,N,N,true_close,Y,partial,Y,PENDING,,,,,missing_unexpected,none,,missing_unexpected,none,,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/STGUSDT_LONG_long_breakout_retest_closed_1774609500000.png
SOLUSDT-SHORT-EXH-1774607400000,SOLUSDT,SHORT,short_exhaustion_retest,2026-03-27,2026-03-27 17:30:00,2026-03-27 17:46:30,,,,2026-03-27 21:46:30,EXPIRED_WAIT,retest wait expired,N,N,true_close,Y,partial,Y,PENDING,,,,,missing_unexpected,none,,missing_unexpected,none,,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/SOLUSDT_SHORT_short_exhaustion_retest_closed_1774610100000.png
BNBUSDT-SHORT-EXH-1774607400000,BNBUSDT,SHORT,short_exhaustion_retest,2026-03-27,2026-03-27 17:30:00,2026-03-27 17:46:36,,,,2026-03-27 21:46:36,EXPIRED_WAIT,retest wait expired,N,N,true_close,Y,partial,Y,PENDING,,,,,missing_unexpected,none,,missing_unexpected,none,,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/BNBUSDT_SHORT_short_exhaustion_retest_closed_1774610100000.png
HYPEUSDT-SHORT-EXH-1774607400000,HYPEUSDT,SHORT,short_exhaustion_retest,2026-03-27,2026-03-27 17:30:00,2026-03-27 17:46:38,,,,2026-03-27 21:46:38,CONFIRMED,signal confirmed,N,N,not_due_yet,Y,none,N,PENDING,,,,,missing_unexpected,none,,missing_unexpected,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/HYPEUSDT_SHORT_short_exhaustion_retest_confirmed_1774609260479.png,not_reached_yet,none,
1000PEPEUSDT-SHORT-EXH-1774607400000,1000PEPEUSDT,SHORT,short_exhaustion_retest,2026-03-27,2026-03-27 17:30:00,2026-03-27 17:46:43,,,,2026-03-27 21:46:43,EXPIRED_WAIT,retest wait expired,N,N,true_close,Y,partial,Y,PENDING,,,,,missing_unexpected,none,,missing_unexpected,none,,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/1000PEPEUSDT_SHORT_short_exhaustion_retest_closed_1774610100000.png
ADAUSDT-SHORT-EXH-1774607400000,ADAUSDT,SHORT,short_exhaustion_retest,2026-03-27,2026-03-27 17:30:00,2026-03-27 17:46:47,,,,2026-03-27 21:46:47,EXPIRED_WAIT,retest wait expired,N,N,true_close,Y,partial,Y,PENDING,,,,,missing_unexpected,none,,missing_unexpected,none,,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/ADAUSDT_SHORT_short_exhaustion_retest_closed_1774610100000.png
SUIUSDT-SHORT-EXH-1774607400000,SUIUSDT,SHORT,short_exhaustion_retest,2026-03-27,2026-03-27 17:30:00,2026-03-27 17:47:06,,,2026-03-27 18:31:21,2026-03-27 21:47:06,EXPIRED_WAIT,retest wait expired,N,N,true_close,Y,full,Y,PENDING,,,,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/SUIUSDT_SHORT_short_exhaustion_retest_pre_pending_1774606500000.png,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/SUIUSDT_SHORT_short_exhaustion_retest_pending_1774607400000.png,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/SUIUSDT_SHORT_short_exhaustion_retest_closed_1774610100000.png
AVAXUSDT-SHORT-EXH-1774607400000,AVAXUSDT,SHORT,short_exhaustion_retest,2026-03-27,2026-03-27 17:30:00,2026-03-27 17:47:10,,,2026-03-27 18:31:22,2026-03-27 21:47:10,EXPIRED_WAIT,retest wait expired,N,N,true_close,Y,full,Y,PENDING,,,,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/AVAXUSDT_SHORT_short_exhaustion_retest_pre_pending_1774606500000.png,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/AVAXUSDT_SHORT_short_exhaustion_retest_pending_1774607400000.png,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/AVAXUSDT_SHORT_short_exhaustion_retest_closed_1774610100000.png
LINKUSDT-SHORT-EXH-1774607400000,LINKUSDT,SHORT,short_exhaustion_retest,2026-03-27,2026-03-27 17:30:00,2026-03-27 17:47:14,,,2026-03-27 18:31:23,2026-03-27 21:47:14,EXPIRED_WAIT,retest wait expired,N,N,true_close,Y,full,Y,PENDING,,,,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/LINKUSDT_SHORT_short_exhaustion_retest_pre_pending_1774606500000.png,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/LINKUSDT_SHORT_short_exhaustion_retest_pending_1774607400000.png,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/LINKUSDT_SHORT_short_exhaustion_retest_closed_1774610100000.png
AAVEUSDT-SHORT-EXH-1774607400000,AAVEUSDT,SHORT,short_exhaustion_retest,2026-03-27,2026-03-27 17:30:00,2026-03-27 17:47:23,,,2026-03-27 18:31:23,2026-03-27 21:47:23,EXPIRED_WAIT,retest wait expired,N,N,true_close,Y,full,Y,PENDING,,,,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/AAVEUSDT_SHORT_short_exhaustion_retest_pre_pending_1774606500000.png,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/AAVEUSDT_SHORT_short_exhaustion_retest_pending_1774607400000.png,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/AAVEUSDT_SHORT_short_exhaustion_retest_closed_1774610100000.png
LTCUSDT-SHORT-EXH-1774607400000,LTCUSDT,SHORT,short_exhaustion_retest,2026-03-27,2026-03-27 17:30:00,2026-03-27 17:47:28,,,2026-03-27 18:31:24,2026-03-27 21:47:28,EXPIRED_WAIT,retest wait expired,N,N,true_close,Y,full,Y,PENDING,,,,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/LTCUSDT_SHORT_short_exhaustion_retest_pre_pending_1774606500000.png,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/LTCUSDT_SHORT_short_exhaustion_retest_pending_1774607400000.png,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/LTCUSDT_SHORT_short_exhaustion_retest_closed_1774610100000.png
UNIUSDT-SHORT-EXH-1774607400000,UNIUSDT,SHORT,short_exhaustion_retest,2026-03-27,2026-03-27 17:30:00,2026-03-27 17:47:38,,,2026-03-27 18:31:25,2026-03-27 21:47:38,EXPIRED_WAIT,retest wait expired,N,N,true_close,Y,full,Y,PENDING,,,,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/UNIUSDT_SHORT_short_exhaustion_retest_pre_pending_1774606500000.png,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/UNIUSDT_SHORT_short_exhaustion_retest_pending_1774607400000.png,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260327/UNIUSDT_SHORT_short_exhaustion_retest_closed_1774610100000.png
