case_id,case_day,symbol,side,strategy,setup_id,signal_id,signal_time_ms,created_time_ms,confirmed_time_ms,sent_time_ms,close_time_ms,fallback_close_due_ms,signal_time_local,created_time_local,confirmed_time_local,sent_time_local,close_time_local,fallback_close_due_local,signal_price,breakout_level,entry_price,stop_price,tp1_price,tp2_price,status_final,close_reason,bars_waited,time_to_confirm_min,time_to_close_min,outcome,r_multiple,pre_pending_image,pending_open_image,entry_or_confirm_image,case_close_image,has_pre_pending_image,has_pending_open_image,has_entry_or_confirm_image,has_case_close_image,case_bundle_complete,human_review_status,verdict_code,root_cause_code,action_candidate_code,confidence_code,review_notes_short
PIPPINUSDT-LONG-1774027200000,2026-03-21,PIPPINUSDT,LONG,long_breakout_retest,PIPPINUSDT-LONG-1774027200000,,1774027200000,1774027576896,0,0,0,1774041976896,2026-03-21 00:20:00,2026-03-21 00:26:16,,,,2026-03-21 04:26:16,0.10788,0.10609,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/PIPPINUSDT-LONG-1774027200000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
WAXPUSDT-LONG-1774027800000,2026-03-21,WAXPUSDT,LONG,long_breakout_retest,WAXPUSDT-LONG-1774027800000,,1774027800000,1774028216648,0,0,0,1774042616648,2026-03-21 00:30:00,2026-03-21 00:36:56,,,,2026-03-21 04:36:56,0.008171,0.008066,,,,,INVALIDATED,,2,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/WAXPUSDT-LONG-1774027800000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
BCHUSDT-SHORT-EXH-1774027800000,2026-03-21,BCHUSDT,SHORT,short_exhaustion_retest,BCHUSDT-SHORT-EXH-1774027800000,,1774027800000,1774028854372,0,0,0,1774043254372,2026-03-21 00:30:00,2026-03-21 00:47:34,,,,2026-03-21 04:47:34,465.67,466.41,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/BCHUSDT-SHORT-EXH-1774027800000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
NEARUSDT-SHORT-EXH-1774031400000,2026-03-21,NEARUSDT,SHORT,short_exhaustion_retest,NEARUSDT-SHORT-EXH-1774031400000,,1774031400000,1774032342287,0,0,0,1774046742287,2026-03-21 01:30:00,2026-03-21 01:45:42,,,,2026-03-21 05:45:42,1.316,1.321,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/NEARUSDT-SHORT-EXH-1774031400000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
XPLUSDT-SHORT-EXH-1774031400000,2026-03-21,XPLUSDT,SHORT,short_exhaustion_retest,XPLUSDT-SHORT-EXH-1774031400000,,1774031400000,1774032356276,0,0,0,1774046756276,2026-03-21 01:30:00,2026-03-21 01:45:56,,,,2026-03-21 05:45:56,0.0936,0.0942,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/XPLUSDT-SHORT-EXH-1774031400000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
PENGUUSDT-SHORT-EXH-1774031400000,2026-03-21,PENGUUSDT,SHORT,short_exhaustion_retest,PENGUUSDT-SHORT-EXH-1774031400000,,1774031400000,1774032358866,0,0,0,1774046758866,2026-03-21 01:30:00,2026-03-21 01:45:58,,,,2026-03-21 05:45:58,0.00712,0.007137,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/PENGUUSDT-SHORT-EXH-1774031400000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
1000BONKUSDT-SHORT-EXH-1774031400000,2026-03-21,1000BONKUSDT,SHORT,short_exhaustion_retest,1000BONKUSDT-SHORT-EXH-1774031400000,,1774031400000,1774032369712,0,0,0,1774046769712,2026-03-21 01:30:00,2026-03-21 01:46:09,,,,2026-03-21 05:46:09,0.005898,0.005911,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/1000BONKUSDT-SHORT-EXH-1774031400000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
SAHARAUSDT-LONG-1774035300000,2026-03-21,SAHARAUSDT,LONG,long_breakout_retest,SAHARAUSDT-LONG-1774035300000,,1774035300000,1774035832358,0,0,0,1774050232358,2026-03-21 02:35:00,2026-03-21 02:43:52,,,,2026-03-21 06:43:52,0.02984,0.02977,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/SAHARAUSDT-LONG-1774035300000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
UAIUSDT-LONG-1774035600000,2026-03-21,UAIUSDT,LONG,long_breakout_retest,UAIUSDT-LONG-1774035600000,,1774035600000,1774035984940,0,0,0,1774050384940,2026-03-21 02:40:00,2026-03-21 02:46:24,,,,2026-03-21 06:46:24,0.4366,0.4328,,,,,INVALIDATED,,4,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/UAIUSDT-LONG-1774035600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
1000SHIBUSDT-SHORT-EXH-1774038600000,2026-03-21,1000SHIBUSDT,SHORT,short_exhaustion_retest,1000SHIBUSDT-SHORT-EXH-1774038600000,,1774038600000,1774039657293,0,0,0,1774054057293,2026-03-21 03:30:00,2026-03-21 03:47:37,,,,2026-03-21 07:47:37,0.005895,0.005927,,,,,INVALIDATED,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/1000SHIBUSDT-SHORT-EXH-1774038600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
FARTCOINUSDT-LONG-1774041300000,2026-03-21,FARTCOINUSDT,LONG,long_breakout_retest,FARTCOINUSDT-LONG-1774041300000,,1774041300000,1774041870742,0,0,0,1774056270742,2026-03-21 04:15:00,2026-03-21 04:24:30,,,,2026-03-21 08:24:30,0.1955,0.1946,,,,,EXPIRED_WAIT,,8,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/FARTCOINUSDT-LONG-1774041300000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
FETUSDT-LONG-1774042200000,2026-03-21,FETUSDT,LONG,long_breakout_retest,FETUSDT-LONG-1774042200000,,1774042200000,1774042669735,0,0,0,1774057069735,2026-03-21 04:30:00,2026-03-21 04:37:49,,,,2026-03-21 08:37:49,0.224,0.2224,,,,,EXPIRED_WAIT,,8,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/FETUSDT-LONG-1774042200000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
BEATUSDT-LONG-1774043700000,2026-03-21,BEATUSDT,LONG,long_breakout_retest,BEATUSDT-LONG-1774043700000,,1774043700000,1774044095871,0,0,0,1774058495871,2026-03-21 04:55:00,2026-03-21 05:01:35,,,,2026-03-21 09:01:35,0.5898,0.5545,,,,,EXPIRED_WAIT,,8,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/BEATUSDT-LONG-1774043700000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
TAOUSDT-LONG-1774044000000,2026-03-21,TAOUSDT,LONG,long_breakout_retest,TAOUSDT-LONG-1774044000000,,1774044000000,1774044391981,0,0,0,1774058791981,2026-03-21 05:00:00,2026-03-21 05:06:31,,,,2026-03-21 09:06:31,277.05,275.46,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/TAOUSDT-LONG-1774044000000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
