snapshot_ts_ms,stage,symbol,side,strategy,signal_id,pending_id,setup_id,outcome,image_path,context_interval,entry_interval,breakout_level,entry_ref,stop,tp1,tp2,note,image_available
1773825308054,pending,HYPEUSDT,SHORT,short_exhaustion_retest,,HYPEUSDT-SHORT-EXH-1773824400000,HYPEUSDT-SHORT-EXH-1773824400000,,review_snapshots/20260318/HYPEUSDT_SHORT_short_exhaustion_retest_pending_1773824400000.png,1h,15m,41.326,,,,,1h exhaustion 25/35 + 15m breakdown 29/30 -> retest fail pending,
1773827812981,pending,AKTUSDT,LONG,legacy_5m_retest,,AKTUSDT-LONG-1773827400000,AKTUSDT-LONG-1773827400000,,review_snapshots/20260318/AKTUSDT_LONG_legacy_5m_retest_pending_1773827400000.png,1h,5m,0.543,,,,,OI jump 3.37% + breakout pending + 15m flat + 1h flat,
1773829053534,pending,POLYXUSDT,SHORT,short_exhaustion_retest,,POLYXUSDT-SHORT-EXH-1773828000000,POLYXUSDT-SHORT-EXH-1773828000000,,review_snapshots/20260318/POLYXUSDT_SHORT_short_exhaustion_retest_pending_1773828000000.png,1h,15m,0.04727,,,,,1h exhaustion 23/35 + 15m breakdown 25/30 -> retest fail pending,
1773829846364,confirmed,POLYXUSDT,SHORT,short_exhaustion_retest,POLYXUSDT-SHORT-1773828000000-1,,POLYXUSDT-SHORT-1773828000000-1,,review_snapshots/20260318/POLYXUSDT_SHORT_short_exhaustion_retest_confirmed_1773828000000.png,1h,15m,0.04727,0.04721,0.048626300000000004,0.0457937,0.0443774,1h exhaustion 23/35 + 15m breakdown 25/30 -> retest fail retest fail + 15m retest 35/35,
1773830013920,pending,RIVERUSDT,LONG,legacy_5m_retest,,RIVERUSDT-LONG-1773829500000,RIVERUSDT-LONG-1773829500000,,review_snapshots/20260318/RIVERUSDT_LONG_legacy_5m_retest_pending_1773829500000.png,1h,5m,24.222,,,,,OI jump 4.10% + breakout pending + 15m flat + 1h flat,
1773830518669,pending,AXSUSDT,LONG,legacy_5m_retest,,AXSUSDT-LONG-1773830100000,AXSUSDT-LONG-1773830100000,,review_snapshots/20260318/AXSUSDT_LONG_legacy_5m_retest_pending_1773830100000.png,1h,5m,1.277,,,,,OI jump 3.56% + breakout pending + 15m flat + 1h flat,
1773830804633,pending,SOLUSDT,SHORT,short_exhaustion_retest,,SOLUSDT-SHORT-EXH-1773829800000,SOLUSDT-SHORT-EXH-1773829800000,,review_snapshots/20260318/SOLUSDT_SHORT_short_exhaustion_retest_pending_1773829800000.png,1h,15m,93.76,,,,,1h exhaustion 25/35 + 15m breakdown 27/30 -> retest fail pending,
1773830806267,pending,XRPUSDT,SHORT,short_exhaustion_retest,,XRPUSDT-SHORT-EXH-1773829800000,XRPUSDT-SHORT-EXH-1773829800000,,review_snapshots/20260318/XRPUSDT_SHORT_short_exhaustion_retest_pending_1773829800000.png,1h,15m,1.5138,,,,,1h exhaustion 35/35 + 15m breakdown 28/30 -> retest fail pending,
1773830809029,pending,DOGEUSDT,SHORT,short_exhaustion_retest,,DOGEUSDT-SHORT-EXH-1773829800000,DOGEUSDT-SHORT-EXH-1773829800000,,review_snapshots/20260318/DOGEUSDT_SHORT_short_exhaustion_retest_pending_1773829800000.png,1h,15m,0.09916,,,,,1h exhaustion 33/35 + 15m breakdown 27/30 -> retest fail pending,
1773830821733,pending,LINKUSDT,SHORT,short_exhaustion_retest,,LINKUSDT-SHORT-EXH-1773829800000,LINKUSDT-SHORT-EXH-1773829800000,,review_snapshots/20260318/LINKUSDT_SHORT_short_exhaustion_retest_pending_1773829800000.png,1h,15m,9.776,,,,,1h exhaustion 25/35 + 15m breakdown 28/30 -> retest fail pending,
1773830825588,pending,WLDUSDT,SHORT,short_exhaustion_retest,,WLDUSDT-SHORT-EXH-1773829800000,WLDUSDT-SHORT-EXH-1773829800000,,review_snapshots/20260318/WLDUSDT_SHORT_short_exhaustion_retest_pending_1773829800000.png,1h,15m,0.392,,,,,1h exhaustion 31/35 + 15m breakdown 29/30 -> retest fail pending,
